Title,Location,Company,Salary,Sponsored,Description,
Software Developer Trainee,"Hyderabad, Telangana",10xBiz,"₹2,50,000 - ₹3,60,000 a year",Organic,"Job Information
Work Experience
0-1 year
Salary
12000
Industry
IT Services
City
Hyderabad
State/Province
Telangana
Zip/Postal Code
500081
Job Description
Software Developer Trainee (CRM/ERP)
We are looking for talented Fresher / Entry Level candidates who are interested in starting their career in Zoho, Saleforce and other CRM as a developer and who want to help our 100+ customers around the world use 10XBiZ services to transform their business with CRM and business process automation technologies.
10XBiZ not only provides you with the rewarding career development you are seeking, but also with unmatched benefits that help you get the most out of your career and your life.This position is a full-time position based out of our Hyderabad office. We are presently a small team looking for an ambitious, talented, self-starter who is passionate about working on the award-winning CRM platforms.
Key Responsibilities:
Responsible for developing, implementing, maintain custom CRM and other business applications (on Zoho Platform) —including coding, agile team principles
Working and build strong relationship with Solution Architects and Platform Architects to fit in 10XBiZ standards and guidelines to champion best practices and guide and influence team on leveraging such practices.
Taking impactful features from idea to implementation
Elegantly bring designs to life using standards-compliant dynamic HTML, CSS, and Javasript.
Brainstorm and prototype new concepts and approaches fast, turning prototypes into real things.
Work with product manager to meet the demands of our customers, while at the same time continuing to innovate far beyond the competition.
Build strong relationships across the business, that may be leveraged to produce better products and solutions. Be a team player in a highly collaborative environment.

What you need to be Successful
Highly motivated, creative, self-directed, and thrives in fast-paced, dynamic environment
Good oral and written communication skills
Team player and be able to interact with other team members to deliver fast with quality
Curiosity to expand your skills



Requirements

Required Skills
Good programming and analytical skills.
Experiences with any of the following JavaScript frameworks/libraries: React, jQuery, Angular or similar would be a plus.
Understand web standards & technologies (ex. HTTP, REST and JSON).
Bachelor’s degree, preferably Computer Science, IT and Electronics.
Knowledge of Agile/Scrum methodology.

Preferred Skills/Experience
Experince of working with any CRM platform would be an advantage.
Able to design and write well-structured, easily maintainable, well-documented code that balances beauty and pragmatism.
Knowledge of Object Oriented (OO) design patterns.
Knowledge working at-scale by reusing components and code to push apps out fast
Passionate about web development and up to date with the latest developments in your field.



Benefits

Perks:
1. Internship Certificate.
2. Recommendation Letter.
3. Great learning potential as the job will involve extensive on project experience on various CRM products such as ZohoCRM, Salesforce.com, Web technologies etc.
4. Stipend of 8,000/- to 12,000/- a Month during training/internship period of 6 months.
5. Job offer (On successful conversion to a permanent employee, the candidate can expect a salary of Rs. 2.5 to 3.6 Lac/annum).",
Support Administrator,"Secunderabad, Telangana",PICKZKART ONLINE SERVICES PVT LTD,"₹10,000 - ₹16,000 a month",Organic,"Immediate Hire for Back End System Administrator for E-commerce Admin Platform. Candidates with Relevant E-commerce experience are give at most preference. Freshers also welcome.
Candidates with Excellent experience working on Microsoft Office tools with Highly skilled MS EXCEL experience is required.
Relevant Candidates with excellent communication in English and Local Language can apply.
Key Skills:
Microsoft Office Tools
MS EXCEL
Technical Skills with HTML, CSS, PHP, MySQL will be added advantage, but not mandatory.
Expected Start Date: 6/7/2020
Job Type: Full-time
Salary: ₹10,000.00 to ₹16,000.00 /month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19",
System Administrator,"Thane, Maharashtra",Pureplay Skin Sciences (I) Pvt. Ltd - Creators of Plum & Phy,None,Organic,"Job Summary
Job Description
We're a fast-growing consumer products company. We are looking for an enthusiastic team member to join as our System Administrator. The work entails taking care of purchase, maintenance and troubleshooting of all our hardware and software IT assets across the company.
Required skills/experience
Excellent knowledge of computer hardware & networking
Excellent knowledge of Windows, MS Office, Tally and other programs - to be able to troubleshoot effectively
Basic English proficiency
Proactive approach to work
Minimum 2 year experience as a System Administrator
Location: Near Hiranandani Meadows, Ghodbunder Road, Thane. Candidates staying in or nearby Thane locations may apply. (Please apply only if this location is suitable for you).
Job Type: Full-time & Part time
Responsibilities and Duties
Maintain IT hardware assets across all company locations
Help with asset tagging, warranty and other queries
Solve user issues in terms of hardware and software
Maintain software licensing across all computers
Set up and maintain network across the company
Other IT-related support
Job Types: Full-time, Part-time
Experience:
system administration: 2 years (Preferred)
Work Remotely:
Temporarily due to COVID-19",
System Administrator,"Jaipur, Rajasthan",Hem Securities,None,Organic,"Job Detail
Department
IT and Technical
Location
Jaipur
Qualifications
Post graduate in IT or technical
Experience
3 to 5 years
Job Requirements
This position is responsible for the oversight of all operations that involved the development and support of information systems.Server-side support Working with Windows LINUX and Solaris Server, Active Directory, DHCP, Backups, Antivirus, SQL Server, VMware ESXi 5.0. Installation and troubleshooting of VMware environment. Installation and troubleshooting of Linux and various open source applications. Installation and troubleshooting of Windows OS. Network support Working with LANs/WANs, Routers/Switches, firewalls DNS, TCP/IP, DHCP, Wi-Fi, VPN and P2P. Monitoring and fault finding for issues related to Firewalls (Cyberoam/Sonic Wall/Fortigate/Juniper) Server-side support Working with Windows LINUX and Solaris Server, Active Directory, DHCP, Backups, Antivirus, SQL Server, VMware ESXi 5.0. Installation and troubleshooting of VMware environment. Installation and troubleshooting of Linux and various open source applications. Installation and troubleshooting of Windows OS. Network support Working with
Job Requirements
This position is responsible for the oversight of all operations that involved the development and support of information systems.Server-side support Working with Windows LINUX and Solaris Server, Active Directory, DHCP, Backups, Antivirus, SQL Server, VMware ESXi 5.0. Installation and troubleshooting of VMware environment. Installation and troubleshooting of Linux and various open source applications. Installation and troubleshooting of Windows OS. Network support Working with LANs/WANs, Routers/Switches, firewalls DNS, TCP/IP, DHCP, Wi-Fi, VPN and P2P. Monitoring and fault finding for issues related to Firewalls (Cyberoam/Sonic Wall/Fortigate/Juniper) Server-side support Working with Windows LINUX and Solaris Server, Active Directory, DHCP, Backups, Antivirus, SQL Server, VMware ESXi 5.0. Installation and troubleshooting of VMware environment. Installation and troubleshooting of Linux and various open source applications. Installation and troubleshooting of Windows OS. Network support Working with",
Linux System Administrator,"Jaipur, Rajasthan",cloudminister technologies,"₹8,000 - ₹12,000 a month",Organic,"Hello
We are searching for a Linux system administrator for full-time employment. The candidate should have good knowledge of Linux and good communication skills.
There will be an opportunity for candidates to work on live projects.
Job Types: Full-time, Internship, Fresher
Salary: ₹8,000.00 to ₹12,000.00 /month
Experience:
system administration: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No",
Linux System Administrator,"Jaipur, Rajasthan",Vmayo Technologies Pvt. Ltd,"₹8,000 - ₹12,000 a month",Organic,"Job Summary
Job Description
Hands-on experience on Linux services like - SMTP, SMPP, Kannel, Asterisk, VPS, SIP, PJSIP, etc.
Able to manage local infrastructure of about 50 systems.
Should have working experience on firewall like iptables, csf etc.
Should have hands on experience on deployment on production environment using any versioning system like Git/Svn.
Should have knowledge of IP Pre & Post Routing, External Interface binding
Responsibilities and Duties
Responsible to support the IT Network of our organization.
Qualification:
B.Tech/B.E, M.C.A,
RHCE(Red Hat certification) preferred
Skills:
Experience on redhat and ubuntu linux.
Experience working with a ticketing system like Jira/Mantis/Github/kayako
Be able to troubleshoot basic network issues and VPN.
Experience in Linux OS installation, Software and Patch management, preferably from the centralized repository.
Good Hands on Troubleshooting experience.
Experience on Sendmail and Postfix.
Knowledge of any one of scripting language – Shell, Python
Having Knowledge of DKIM, SPF , DMARC , RDNS
Having Knowledge of SIP,PJSIP, Asterisk, Kamailio , PCAP
Job Types: Full-time, Walk-In
Salary: ₹8,000.00 to ₹12,000.00 /month
Experience:
system administration: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Industry:
IT Operations & Helpdesk
Work Remotely:
Yes",
Urgent Hiring For Senior System Administrator,"Ahmedabad, Gujarat",Hops Healthcare A brand of SLKtechlabs Pvt Ltd,"₹20,000 - ₹60,000 a month",Organic,"Job brief
We are looking for a System Administrator to maintain, upgrade and manage our software,
hardware and networks. Resourcefulness is a necessary skill in this role. You should be able
to diagnose and resolve problems quickly. You should also have the patience to
communicate with a variety of interdisciplinary teams and users. Your goal will be to ensure
that our technology infrastructure runs smoothly and efficiently.
Experience - 4+
Responsibilities
Appreciable if having basic knowledge about
OOP, Java, PHP Scripting
Work with cloud server Like AWS, Google cloud, Digitalocean
Network
Server Hardware
Big Data Storage like Nas, SAS, San with redundancy
Replication
Load Balancing
Application Server Like tomcat, jboss, apache
Application DB Like MySQL, MongoDB, Redis
OS Firewall, Network Firewall
VM Management
Docker
Kubernetes
Product with version manage
Manage Client Server
Monitoring Tool Like Grafana
Toot Maven, Git, Inno tool, Ansible, Jenkins
DNS
Deployment Process
Must Required
BE/Btech with specialization in IT or Computers Science
Ability to Manage a team
Job Type: Full-time
Salary: ₹20,000.00 to ₹60,000.00 /month
Experience:
work: 3 years (Preferred)
total work: 4 years (Preferred)
Education:
Bachelor's (Preferred)",
Senior System Administrator,"Delhi, Delhi",GK Digital Dream,"₹3,00,000 - ₹6,00,000 a year",Organic,"As a member of the Production Hosting department at Signant Health, the System Administrator will collaborate with development, release, and application teams to install, configure, deploy and manage infrastructure, application components and services in customer environments to ensure they are highly available, scalable and sustainable.
You will also work with Apps Integration and the DevOps teams to identify and resolve issues and improve the overall Support Process.Key Accountabilities/Decision Making & Influence:
Automation for tasks like deployment of servers and application software across environment, alerts via scripting.
Troubleshoot to identify root cause and work towards faster work-arounds and resolution of reported issues
Quickly & effectively utilize existing tools and utilities to improve troubleshooting process in the long run
Ensure the stability and availability of Application operation components running on Public Clouds.
Participate in 24x7 on-call rotation to support production environments.
Control infrastructure costs by continually looking for opportunities to right-size servers and services
Migrate on-premises workloads to the cloud (AWS/Azure)
Respond to alerts of application instability, identifying root cause and corrective actions.
Knowledge, Skills & Attributes:
Experience in a modern software development environment that is Agile and incorporates DevOps practices
Hands on experience with DevOps Tools like Jenkins, Artifactory, Maven, Git, BitBucket, TFS
Experience with cloud platforms like AWS and Azure
Experience in Python, Terraform, PowerShell
Experience in containerization and orchestration(kubernetes)
Configuration management using Puppet, Ansible, or Chef
Experience with Continuous Integration and Continuous Deployment
Hands-on experience in Linux/Windows server operating systems, and Web Server technologies including IIS, Tomcat, WebLogic, WebSphere and Apache Web Server
Knowledge of relational databases including SQL Server, Oracle, Postgres or MySQL
Proven ability to work in a team-oriented environment, providing back-up support to team members & establishing/maintaining effective work relationships with co-workers within and across functional areas.
Experience setting up and configuring monitoring systems.
Job Types: Full-time, Contract, Walk-In
Salary: ₹300,000.00 to ₹600,000.00 /year
Experience:
Systems Administrator: 3 years (Required)
work: 3 years (Required)
total work: 3 years (Required)
Education:
Bachelor's (Required)",
System Administrator,India,Iris Software,None,Organic,"Primary Skills/Responsibilities
manages and administrate cloud-hosted infrastructure and applications
(Office 365, Azure- OneDrive, SharePoint, Exchange Online, Teams)
Experience working with Microsoft Windows Server 2016, 2019, Windows 10
Experience in Server Backup and Restore Operation.
Provide support in performance monitoring, backup’s alerts, reporting, and Root Cause analysis.
Windows OS and application patching, patching WSUS / SCCM
End-Point protection Management (CrowdStrike, Windows Defender)

Secondary Skills/Responsibilities
Experience MSSQL, SCCM, IIS
Experience working with VMWare Virtualization Platform.
Experience administering ADDS, Azure Active Directory and Azure Active Directory Connect, DNS, DHCP, GPO.
Working with Mobile Device Management ( Intune / MaaS 360 )

Qualifications

B.E. / B/Tech. / MCA

Primary Location: INDIA
Organization: Iris Software
Schedule: Regular
Shift: Standard
Job Type: Full-time
Evening Job
Job Posting: 01-Jul-2020, 4:09:05 AM",
System Administrator,"Vijayawada, Andhra Pradesh",Efftronics Systems Pvt Ltd,"₹2,00,000 - ₹4,00,000 a year",Organic,"Functional Area Other
Industry Type IT-Software-Software Services
Keywords troubleshooting,lan,configuration,cklaptop,antivirus,operating system,symantectware program,g
Setup and maintenance of LAN and clearing out the issues concerned Maintaining Symantec & E- trust Antivirus engines. Creating Mail quotas to the users. Installation of Microsoft Windows 2003 Server, Professional. Installation of all Microsoft packages. Installation and up gradation and configuration the system / Laptop with appropriate device drivers and operating system. Regular maintenance and trouble shooting of all components of the computers and special devices. Installation of application software and programming software. Backups using different strategies (Normal, Differential and Incremental) . Maintaining daily backup and restoring data. System performance monitoring and troubleshooting user related problems.
Desired Candidate Profile
Profile Description
NA
Under Graduate Qualification BE / B.Tech (Any Specialization)
PG Qualifications Any PG Course (Any Specialization)
Note: Candidate should have either UG or PG qualifications",
System Administrator(1 to 4 Years)),"Jaipur, Rajasthan",DreamSoft4u Pvt. Ltd. Jaipur,None,Organic,"Deployment of new application in the development/QA and Production servers.
Manage servers, system software, install software and deploy application software in Windows and Linux environment.
Working skills on different Hosting provider.
Hands on experience on Cloud Computing like AWS, Azure etc.
Environment tuning (including but not limited to Apache, Tomcat, MSSQL, MySQL, JVM, etc.
Working experience on Data backup utilities in Linux and Windows Server.
Take backup of servers as and when required or on daily, weekly monthly basis.
Knowledge of TCP/IP, Switches/Fortigate Firewall.
Experience on Virtualization Technology, Hyper-V/VMware.
Working experience on IIS/Apache web server Configuration, management and Troubleshooting
Hands on experience on Web Hosting panels, such Cpanel/WHM, SolidCP and parallel plesk etc.
Experience on DNS and Domain, also knowledge on different types of DNS records.
Good knowledge on DNS Management like, domain Propagation, domain redirection, Name Servers, A records, @ records, MX records etc.
Hands on Experience on Mail Server/Client Configuration like Postfix, application mail server.
Knowledge and working skills on FTP, SFTP, iptables, RAID, VPN.
Management and Configuration of application serves on Linux, like NFS, Samba, send mail, RDP etc.
Working experience on SSL certification Installation and configuration on Windows and Linux Server.
Experience on Subversion technologies server setup and Management like, SVN, Git etc.
Management of different types of databases Like MSSQL, Mysql, mariadb, mongodb backup and restoring technologies.
Working experience on database management tool like phpmyadmin, mysql workbench, Management studio etc.
Key Skills: (Basic knowledge of Hardware Troubleshooting, centos/Redhat/Ubuntu,Windows Server), Hosting Panel, AWS, Azure, Hyper-V, Apache, IIS, SSH, DNS, MySQL/MSSQL, tomcat, Email servers, DevOps etc.
Job Type: Full-time
Experience:
System admin: 1 year (Preferred)
total work: 4 years (Preferred)
Work Remotely:
Temporarily due to COVID-19",
Windows Server Administrator,"Jaipur, Rajasthan",H.S. Corporation,"₹5,00,000 a year",Organic,"Hello Everyone, hiring for Windows Server Administrations profile,
Experience - Minimum 2 years
Job Type: Full-time
Salary: ₹500,000.00 /year
Experience:
work: 2 years (Preferred)
total work: 2 years (Preferred)
Education:
Bachelor's (Preferred)",
System Administrator,"Jaipur, Rajasthan",Aria Telecom Solutions,None,Organic,"Job Description
Knowledge to configure Routers, Switches, IP Phones, Servers.
IP configuration, Networks (LAN, WAN)
Basic knowledge of database MYSQL,SQL Server
Familiarity with various operating systems and platforms,
Basic knowledge of Linux & Centos
Installing & Configuring Software & Hardware
Monitoring System/Server performance and troubleshooting issues
Coordination with Technical Team for client site issues
Maintains Email
Experience - 1-3 years
Job Location - Jaipur
Please send your resume at hrd@ariasolutions.net",
system administrator/ Security Expert...,"Agra, Uttar Pradesh",globistic Management solution,"₹20,000 - ₹45,000 a month",Organic,"Requirement of IT resources support in Data Centre
Profile: (a) System Administrator
(b) Network Administrator
(c) Security Expert
(d) MEP Engineer
Experience: 2Year - 5 Year
Salary : 15,000 - 45,000
Location: Agra
Vacancy: 16
Sandeep - 8172000380
Job Type: Full-time
Salary: ₹20,000.00 to ₹45,000.00 /month
Job Type: Full-time
Pay: ₹20,000.00 - ₹45,000.00 per month
Experience:
Network Security: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Work Remotely:
No",
System Administrator,India,Web Dunia,None,Organic,"IT and Support
Windows, Linux, ADS, Exchange & Remote Management Tools,SQL Server, Oracle, MySQL,Processes: PPQA, SQA, SEPG, Testing

Position
System Administrator

Essentials
Very good communication skills.
Good understanding of Operating System at a Administration Level as well as User Level.
Concepts and practical knowledge on networking.
Should have very good experience in providing Technical Support.
Administration and configuration of Web server (Apache), Mail Server (Sendmail/ Qmail), Squid, DNS, FTP, SAMBA and LDAP on Linux.
Knowledge of Firewall.
Knowledge of Windows NT / 2000.

Education & Experience
Minimum 2 years experience in development or large user installation. .

Preffered
Good Analytical/Problem solving skills",
Network & System Administrator,"Pune, Maharashtra",ITarium Technologies India Pvt Ltd,None,Organic,"Job Description:
· Knowledge in Windows & Linux environments, handling high-end servers, Desktop support
· System administration on Windows 7,10 pro, Linux (Ubuntu, Cent OS), MAC
· Skills on Windows Server 2008, 2012.
· Must have experience in Windows server management
· Must have networking and security knowledge
· Linux certified
· Cloud knowledge would be a plus
Job Type: Full-time
Experience:
work: 2 years (Required)
Education:
Bachelor's (Required)
Work Remotely:
Temporarily due to COVID-19",
Application Server cum System Administrator,India,Tavas Consultancy,None,Organic,"Location:Jaipur
category:IT Software – Client Server
experience:6 – 6 Years
Company:Access Infotech Pvt Ltd.
Source URL: https://www.wisdomjobs.com",
Network Administrator,India,Larsen & Toubro Infotech Limited,None,Organic,"Senior network engineer to support and troubleshoot Layer 3 and Layer 2 issues in network and security domain. fair knowledge on administration and troubleshooting activities for DC infrastructure and cisco security devices. Candidate should have strong foundation on Juniper, Cisco and other technologies. The candidate should have expertise in planning, designing Implementation, & troubleshooting of Routing protocols Like BGP, OSPF and good understanding on network terminologies like IP Protocol, Security, Ether Channel, AAA (TACACS+ & RADIUS) EIGRP etc. Candidate should have Strong foundation on Juniper Platform QFX, EX services devices. Exposure in ticketing systems like. Service Now, HPSM will be added advantage. Working towards maximum network uptime and customer satisfaction. Fair Knowledge on reporting, SLA uptime and other industry terminology. Good communication/Presentation skills and customer focused attitude Maintenance of client relationship Provides project coordination duties for assigned projects. coordinating vendor/OEM for various issues Facilitates communication between project team members. Proactively monitors and reports status of project efforts, anticipates, and identifies issues that inhibit the attainment of project goals and implements corrective actions Demonstrated ability to oversee project work activities. Willing to work in 24*7 Support on a rotational basis and lead the daily operations of the production environment.",
IT Executive / System Administrator,"Bhopal, Madhya Pradesh",Swastik Total Health,None,Organic,"Essential Qualifications: Master in computer Applications or BE from a recognized institutions. Should be aware of Server Management, Networking ,Hardware and Hospital Software Management.
Position(s) : 3
Location : Multiple locations across Madhya Pradesh.

Note : Please send us your latest resume (.doc or .pdf formats only) along with the Job Reference Id in the subject to info@swastikhealth.com.",
Linux System Administrator,"Bengaluru, Karnataka",vepsun technologies,"₹25,000 - ₹35,000 a month",Organic,"Linux Administrator Job Description
Linux administrators are back-end IT specialists who install, configure, and maintain Linux operating systems in a variety of organizations. This role involves server-side operations and troubleshooting tasks that support business-critical and development activities. Linux administrators also configure user access and monitor system stability and security through deployment and everyday use.
This role requires extensive familiarity with Linux systems and servers and may involve a high level of risk assessment and user support. Because Linux is an open-source operating system, administrators also frequently communicate and collaborate with other developers to develop and implement system enhancements.
Linux Administrator Duties and ResponsibilitiesWhile the specific duties of a Linux administrator can vary based on their business and industry, the general responsibilities of this role are relatively consistent. Based on listings that we analyzed, these duties include:
Install and Configure Linux Systems
A Linux administrator’s main responsibility is to install and set up Linux systems and servers, often for organization-wide deployment. They develop servers and work with individual users to ensure that the system works reliably and quickly and answer questions related to setup and installation. In this role, Linux administrators also set up the architecture of the system, including back-end databases and scripts for specific applications and use cases.
Perform System Maintenance
Linux administrators also perform routine system maintenance and resolve server-side issues as they arise. This aspect of the role requires the Linux administrator to review error logs and reported errors and seek out solutions. Frequently, Linux administrators need to work directly with the system’s source code to make necessary changes to ensure reliable performance and then deploy those changes throughout the system.
Create System Backups
Linux administrators also conduct system backups according to company or industry standards. They may perform these backups weekly, daily, or more frequently depending on system space and business needs. This improves system recovery after a crash or other outage and supports data integrity by ensuring that there is never a massive loss of vital information.
Monitor System Performance
In addition to maintaining Linux systems and servers, Linux administrators also monitor system performance to prevent slowdowns and crashes. They may examine daily traffic logs and reports or receive direct reports from end users. If the Linux administrator notices potential issues or recurring problems within the system, they develop and deploy solutions so that the system remains usable for all personnel.
Provide Technical Support and Guidance
Linux administrators provide technical support and guidance to users and other administrators. In many cases, the Linux administrator works closely with other developers to answer technical questions or resolve issues with server-side performance. They may also support users by assisting with installation and maintenance of Linux-based programs and help debug these applications so that they work with existing servers.
Maintain System Security
Finally, Linux administrators maintain system security by actively identifying faults and vulnerable areas within the system’s architecture. This part of the job requires extensive knowledge of viruses and other sources of system vulnerability, and requires the Linux administrator to proactively develop protections, particularly when deploying system-wide changes that can open up new vulnerabilities.
Job Type: Full-time
Salary: ₹25,000.00 to ₹35,000.00 /month
Experience:
system administration: 1 year (Preferred)
work: 1 year (Preferred)
total work: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes",
Network & Systems Administrator,Goa,CodeMax IT Solutions,None,Organic,"Skills And Qualifications:
2 years experience in a similar role.
Very strong knowledge of computer hardware
Hands-on experience in routers and switches including VLAN and DHCP management.
Understanding of basic network fundamentals including IP Address and Subnets, Ethernet, WAN, LAN, WLAN etc.
Knowledge in Linux package management tools.
Quick learner, a passion for upskilling and keeping up with the latest trends in the industry.
Hard-working candidates with enthusiasm to work in startup environments will be considered.
Excellent analytical and problem-solving/ troubleshooting skills.
Good technical documentation and communication skills.
CCNA/Comptia A+/RHCE or similar certifications and knowledge in Nginx and MySQL, experience in CISCO switches will be considered as an advantage.

Responsibilities:
Diagnose hardware and software problems (Linux and Windows OS), and replace defective components including routers.
Setting up of development systems including OS installation, SSH and other required software.
Maintain and administer computer networks and related computing environments, including computer hardware, systems software, applications software, and all configurations.
Operate master consoles in order to monitor the performance of computer systems and networks, and to coordinate computer network access and use.
Perform routine network startup and shutdown procedures, and maintain control records.
Design, configure and test computer hardware, networking software and operating system software.
Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes.
Confer with network users about how to solve existing system problems.
Monitor network performance in order to determine whether adjustments need to be made, and to suggest where changes will need to be made in the future.
Load computer tapes and disks, and install the software and printer paper or forms.
Gather data pertaining to customer needs, and use the information to identify, predict, interpret, and evaluate system and network requirements.
Analyze equipment performance records in order to determine the need for repair or replacement.
Maintain logs related to network functions, as well as maintenance and repair records.
Research new technology, and implement it or recommend its implementation.
Maintain an inventory of parts for emergency repairs.
Coordinate with vendors and with company personnel in order to facilitate purchases.


Location: Goa
Open Position: 1

hr@cdmx.in",
System Administrator,India,Brahmanet IT Solutions,None,Organic,"We are looking for an Enthusiastic and self-motivated System administrator.

JOB DESCRIPTION
Manage hardware, software, and utilities for installation, modification, troubleshooting, maintenance, and upgrades of operating systems and workstation environments.
Hands-on experience in Linux Server Administration including security configurations, patching, and troubleshooting.
Set up accounts and workstations. Administrate infrastructure, including firewalls, databases, malware protection software and other processes.
Ensure security through access controls, backups and firewalls.
Knowledge in Plesk/cPanel Hosting platforms and backup management.
Ability to manage and maintain Internal hardware, networking devices and connectivity solutions.
Knowledge in PHP, MySQL, Android, iOS development will be an added advantage.

Interested candidates mail your resumes in .DOC or PDF to hr@brahmanet.com specifying the designation for which you are applying in the subject.",
System Administrator (Mumbai),"Mumbai, Maharashtra",Itiviti,None,Organic,"Role Overview

As a System Administrator you will perform all duties pertaining to hardware, software, and network in accordance with defined standard operating procedures in a timely and accurate fashion. This includes installing, diagnosing, repairing, maintaining and upgrading all Core systems..
Provide end user training, support and assistance where required. Collaborates with application and infrastructure colleagues to root cause environment failures.

Responsibilities
Install, configure, test, maintain, monitor and troubleshoot end user workstation hardware, accessories, printers, networked peripheral devices, networking hardware products and phones.
Performs on-site and remote analysis, diagnosis and resolution of complex problems for a variety of end users
Recommend and implement corrective hardware solutions, including off-site repairs, as needed.
Document the work and provide “how to” guides to end-users.
Works with end users to identify and deliver required PC service levels.
Receives and responds to incoming ticketing system requests regarding PC and/or hardware and/or software problems.
Liaises with, and provides training and support to end users and staff on computer operation and other issues.
Provides analysis of current environment for ongoing hardware refresh while providing details to ensure inventory is available and to ensure smooth replenishment.
Install, configure, Maintain and Monitor Video conferencing equipments
Plan and Implement relocation of IT Equipments for end users
Inventory and Vendor Management for support

Your Profile
Associate’s degree in Computer Science or equivalent.
Minimum two to three years work experience of progressively responsible computer repair and system support experience
Critical thinking skills, decisive judgement and the ability to work with minimal supervision.
Able to work in a stressful environment and take appropriate action
Demonstrate effective communication skills
Customer service oriented and proactive
Fluent in English.

Main competences
Microsoft Desktop and Server Operating systems
Application Packaging
Microsoft infrastructure services (AD, Group Policy, PKI, SCCM, SCOM, SCVMM)
Mobile Device Management (Google MDM)
Powershell and Command Line Scripting (Added advantage)
Basic Understanding of networking
Inventory Management

Our cultural identity revolves around:
Treating each other with respect. We communicate in a constructive way, we respect diversity.
Encouraging creativity, innovation, new ideas and being pro-active. We support our employees in exploring new options and trying new technologies, methods and techniques, we seek continual improvement.
Leveraging each other's strengths, we share, collaborate and build on each other's knowledge, we are inclusive, we engage employees at all levels and we value time spent together.
Sharing information at all levels. We are curious and open to cultural differences, we value transparency, we promote an open-door policy: everyone is approachable by all our people, no matter their job title.",
Windows Administrator,"Mumbai, Maharashtra",FIGMENT GLOBAL SOLUTIONS PVT LTD,"₹20,000 - ₹40,000 a year",Organic,"1. Install and Configure Windows Servers
2. Provide Technical Support and Guidance.
3. Perform System Maintenance.
4. Monitor System Performance.
5. Create System Backups.
6. Maintain System Security.
Job Type: Full-time
Salary: ₹20,000.00 to ₹40,000.00 /year
Experience:
system administration: 2 years (Required)
Education:
Bachelor's (Required)",
System Administrator,"Hyderabad, Telangana",Cyber X PERT Z,None,Organic,"We are looking for a System Administrator to maintain, upgrade and manage our software, hardware and networks.
Responsibilities
· Install and configure software and hardware
· Manage network servers and technology tools
· Set up accounts and workstations
· Monitor performance and maintain systems according to requirements
· Troubleshoot issues and outages
· Ensure security through access controls, backups and firewalls
· Upgrade systems with new releases and models
· Develop expertise to train staff on new technologies
· Build an internal wiki with technical documentation, manuals and IT policies
Requirements
· Proven experience as a System Administrator, Network Administrator or similar role
· Experience with databases, networks (LAN, WAN) and patch management
· Knowledge of system security (e.g. intrusion detection systems) and data backup/recovery
· Ability to create scripts in Python, Perl or other languages
· Familiarity with various operating systems and platforms
· Resourcefulness and problem-solving aptitude
· Excellent communication skills
· BSc/Ba in Information Technology, Computer Science or a related discipline; professional certification (e.g. Microsoft Certified Systems Administrator (MCSA)) is a plus
Job Type: Full-time
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Network Administration: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)",
IT System Administrator,"Ahmedabad, Gujarat",Optimized Solutions Ltd,"₹1,80,000 - ₹2,40,000 a year",Organic,"Job Profile:
Define and implement IT policy
Installing and configuring software, hardware, and networks
Monitoring system performance and troubleshooting issues
Ensuring the security and efficiency of IT infrastructure
Install and configure software and hardware
Manage network servers and technology tools
Set up accounts and workstations
Monitor performance and maintain systems according to requirements
Troubleshoot issues and outages
Ensure security through access controls, backups, and firewalls
Upgrade systems with new releases and models
Develop expertise to train staff on new technologies
Build an internal wiki with technical documentation, manuals, and IT policies
An ideal candidate shall be:
Proven experience as a System Administrator, Network Administrator or similar role
Experience with databases, networks (LAN, WAN) and patch management
Knowledge of system security and data backup/recovery
Familiarity with various operating systems and platforms
Resourcefulness and problem-solving aptitude
Excellent communication skills
Qualification:
BSc /MSc in Information Technology, Computer Science or a related discipline; CCNA preferred, professional certification (e.g. Microsoft Certified Systems Administrator (MCSA)) is a plus
Job Type: Full-time
Salary: ₹180,000.00 to ₹240,000.00 /year
Experience:
system administration: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No",
